gage,date,Min,Max,Mean
6803495.00,2011-03-31,75.60,130.00,98.53
6803495.00,2011-04-30,67.40,462.00,149.34
6803495.00,2011-05-31,82.80,3660.00,457.32
6803495.00,2011-06-30,105.00,3480.00,379.63
6803495.00,2011-07-31,89.20,2260.00,441.77
6803495.00,2011-08-31,69.30,1580.00,254.92
6803495.00,2011-09-30,60.80,200.00,93.50
6803495.00,2011-10-31,47.00,155.00,63.89
6803495.00,2011-11-30,55.10,248.00,86.56
6803495.00,2011-12-31,64.60,285.00,98.08
6803495.00,2012-01-31,52.90,79.40,65.76
6803495.00,2012-02-29,62.80,362.00,135.99
6803495.00,2012-03-31,89.50,262.00,122.88
6803495.00,2012-04-30,63.70,2640.00,274.44
6803495.00,2012-05-31,67.60,629.00,154.19
6803495.00,2012-06-30,41.90,1010.00,140.97
6803495.00,2012-07-31,29.80,51.00,36.06
6803495.00,2012-08-31,23.80,44.10,28.97
6803495.00,2012-09-30,21.40,228.00,37.78
6803495.00,2012-10-31,22.70,143.00,35.43
6803495.00,2012-11-30,30.60,36.70,32.86
6803495.00,2012-12-31,27.10,191.00,44.01
6803495.00,2013-01-31,33.20,98.70,47.08
6803495.00,2013-02-28,38.30,52.80,45.41
6803495.00,2013-03-31,39.60,281.00,61.16
6803495.00,2013-04-30,35.80,567.00,115.23
6803495.00,2013-05-31,36.20,5390.00,497.90
6803495.00,2013-06-30,68.40,614.00,182.99
6803495.00,2013-07-31,33.00,125.00,45.96
6803495.00,2013-08-31,28.20,310.00,50.42
6803495.00,2013-09-30,26.00,218.00,45.53
6803495.00,2013-10-31,28.00,1040.00,106.89
6803495.00,2013-11-30,30.40,262.00,59.16
6803495.00,2013-12-31,36.60,44.10,39.31
6803495.00,2014-01-31,35.30,42.70,38.35
6803495.00,2014-02-28,30.40,91.00,41.68
6803495.00,2014-03-31,32.00,52.10,39.73
6803495.00,2014-04-30,34.50,412.00,81.38
6803495.00,2014-05-31,44.80,3400.00,278.21
6803495.00,2014-06-30,116.00,3660.00,505.70
6803495.00,2014-07-31,39.00,266.00,102.15
6803495.00,2014-08-31,35.70,2550.00,331.69
6803495.00,2014-09-30,69.00,1490.00,307.45
6803495.00,2014-10-31,72.30,10500.00,549.35
6803495.00,2014-11-30,63.80,87.10,71.37
6803495.00,2014-12-31,62.50,227.00,86.13
6803495.00,2015-01-31,53.20,113.00,65.31
6803495.00,2015-02-28,70.90,144.00,93.17
6803495.00,2015-03-31,48.40,227.00,79.14
6803495.00,2015-04-30,71.20,232.00,109.88
6803495.00,2015-05-31,67.60,27800.00,2084.45
6803495.00,2015-06-30,220.00,10200.00,1914.27
6803495.00,2015-07-31,78.40,603.00,219.76
6803495.00,2015-08-31,70.40,541.00,156.50
6803495.00,2015-09-30,64.10,1210.00,187.50
6803495.00,2015-10-31,53.20,102.00,69.45
6803495.00,2015-11-30,63.10,276.00,98.71
6803495.00,2015-12-31,96.60,3230.00,401.81
6803495.00,2016-01-31,123.00,265.00,167.84
6803495.00,2016-02-29,135.00,446.00,228.45
6803495.00,2016-03-31,120.00,286.00,156.00
6803495.00,2016-04-30,89.20,1110.00,289.75
6803495.00,2016-05-31,315.00,6730.00,1317.87
6803495.00,2016-06-30,114.00,848.00,323.30
6803495.00,2016-07-31,81.20,2010.00,222.65
6803495.00,2016-08-31,73.00,340.00,144.19
6803495.00,2016-09-30,65.00,374.00,131.42
6803495.00,2016-10-31,69.80,432.00,162.85
6803495.00,2016-11-30,80.50,119.00,86.57
6803495.00,2016-12-31,43.20,420.00,105.83
6803495.00,2017-01-31,95.60,579.00,182.99
6803495.00,2017-02-28,96.20,184.00,120.56
6803495.00,2017-03-31,57.70,306.00,96.00
6803495.00,2017-04-30,82.00,797.00,155.09
6803495.00,2017-05-31,133.00,7940.00,812.87
6803495.00,2017-06-30,133.00,2690.00,406.97
6803495.00,2017-07-31,73.20,1080.00,260.32
6803495.00,2017-08-31,61.20,1280.00,204.00
6803495.00,2017-09-30,55.00,686.00,122.47
6803495.00,2017-10-31,115.00,3030.00,378.19
6803495.00,2017-11-30,94.20,116.00,103.17
6803495.00,2017-12-31,62.70,101.00,88.03
6803495.00,2018-01-31,54.00,84.60,68.35
6803495.00,2018-02-28,49.00,108.00,67.46
6803495.00,2018-03-31,74.80,262.00,126.24
6803495.00,2018-04-30,71.60,166.00,96.99
6803495.00,2018-05-31,67.20,201.00,92.31
6803495.00,2018-06-30,57.20,1710.00,347.12
6803495.00,2018-07-31,77.10,1590.00,208.35
6803495.00,2018-08-31,56.20,613.00,121.63
6803495.00,2018-09-30,90.00,7190.00,809.24
6803495.00,2018-10-31,83.70,890.00,215.82
6803495.00,2018-11-30,106.00,152.00,123.47
6803495.00,2018-12-31,168.00,3100.00,623.29
6803495.00,2019-01-31,138.00,341.00,225.61
6803495.00,2019-02-28,136.00,673.00,200.07
6803495.00,2019-03-31,135.00,12600.00,1567.29
6803495.00,2019-04-30,213.00,390.00,270.77
6803495.00,2019-05-31,191.00,9000.00,1309.58
6803495.00,2019-06-30,401.00,2780.00,957.40
6803495.00,2019-07-31,146.00,1680.00,288.16
6803495.00,2019-08-31,161.00,647.00,256.32
6803495.00,2019-09-30,125.00,1250.00,269.27
